Year,Season,Winner,Player of the Series,Man of the Match
2020,IPL-2020,Mumbai Indians,Jofra Archer,Trent Boult
2019,IPL-2019,Mumbai Indians,Andre Russell,Jasprit Bumrah
2018,IPL-2018,Chennai Super Kings,Sunil Narine,Shane Watson
2017,IPL-2017,Mumbai Indians,Ben Stokes,Krunal Pandya
2016,IPL-2016,Sunrisers Hyderabad,Virat Kohli,Ben Cutting
2015,IPL-2015,Mumbai Indians,Andre Russell,Rohit Sharma
2014,IPL-2014,Kolkata Knight Riders,Glenn Maxwell,Manish Pandey
2013,IPL-2013,Mumbai Indians,Shane Watson,Kieron Pollard
2012,IPL-2012,Kolkata Knight Riders,Sunil Narine,Manvinder Bisla
2011,IPL-2011,Chennai Super Kings,Chris Gayle,Murali Vijay
2010,IPL-2010,Chennai Super Kings,Sachin Tendulkar,Suresh Raina
2009,IPL-2009,Deccan Chargers,Adam Gilchrist,Anil Kumble
2008,IPL-2008,Rajasthan Royals,Shane Watson,Yusuf Pathan
